Model Interval,10,169,4444,77777,123456
"(0, 10]",,116.0,,,
"(10, 20]",120.375,164.71428571428572,254.88888888888889,135.45454545454547,174.8
"(20, 30]",302.2142857142857,378.8,339.4166666666667,330.7142857142857,304.9
"(30, 40]",357.1666666666667,378.4,428.22222222222223,484.4,522.2222222222222
"(40, 50]",499.27272727272725,648.0,607.3,470.3333333333333,642.5555555555555
"(50, 60]",685.7777777777778,686.9166666666666,710.8888888888889,614.7272727272727,732.8181818181819
"(60, 70]",930.8888888888888,757.5833333333334,886.1818181818181,740.4166666666666,887.8333333333334
"(70, 80]",979.4444444444443,809.8333333333334,1123.0,848.5833333333334,1038.2
"(80, 90]",1030.0,971.3,1283.857142857143,1016.0,1151.090909090909
"(90, 100]",1174.5555555555557,1039.2222222222222,1359.923076923077,1083.2,1213.6666666666667
"(100, 110]",1214.8181818181818,1327.7142857142858,1538.2222222222222,1158.0,1309.1818181818182
"(110, 120]",1365.3333333333333,1334.875,1659.0833333333333,1295.1666666666667,1343.125
"(120, 130]",1569.2666666666669,1467.1818181818182,1827.4,1350.2222222222222,1556.5555555555557
"(130, 140]",1673.0,1652.6666666666667,1909.3,1508.375,1601.4
"(140, 150]",1874.2222222222224,1727.6363636363635,2076.2,1621.6,1760.5
"(150, 160]",2063.8571428571427,1835.7692307692307,2210.7,1775.0,1856.4166666666667
"(160, 170]",2100.3076923076924,1978.8181818181815,2266.5,1756.7777777777778,2260.0
"(170, 180]",2204.6363636363635,1941.8333333333333,2466.0,1940.5,2210.181818181818
"(180, 190]",2271.375,2053.1666666666665,2520.0,2015.2222222222224,2372.8
"(190, 200]",2341.5454545454545,2308.625,2602.8571428571427,2135.5,2510.3
"(200, 210]",2558.875,2522.769230769231,2735.875,2298.5,2663.1111111111118
"(210, 220]",2685.625,2704.7,2875.9,2459.538461538461,2782.6153846153848
"(220, 230]",2801.9411764705883,2802.875,2985.9333333333334,2598.28,2819.4
"(230, 240]",2952.0666666666666,2916.333333333333,3030.5,2770.333333333333,2821.5789473684213
"(240, 250]",2923.5,3068.736842105264,3147.133333333333,2827.190476190476,2954.705882352941
"(250, 260]",3111.0625,3210.0,3247.133333333333,2971.9333333333334,3096.3529411764707
"(260, 270]",3183.8125,3301.75,3270.923076923077,3120.7,3224.583333333333
"(270, 280]",3176.714285714286,3323.6,3381.285714285714,3306.5,3232.0
"(280, 290]",3472.333333333333,3229.0,,,3320.0
